show_id,type,title,director,country,date_added,release_year,rating,duration(min),listed_in
s8577,Movie,This Is Not What I Expected,Derek Hui,China,2017-10-14,2017,TV-PG,107,International Movies
s8577,Movie,This Is Not What I Expected,Derek Hui,China,2017-10-14,2017,TV-PG,107,Romantic Movies
s8578,Movie,This Was Tomorrow,Wim Bonte,Belgium,2015-12-15,2015,NR,77,Documentaries
s8578,Movie,This Was Tomorrow,Wim Bonte,Belgium,2015-12-15,2015,NR,77,International Movies
s8578,Movie,This Was Tomorrow,Wim Bonte,Belgium,2015-12-15,2015,NR,77,Music & Musicals
s8579,Movie,Thithi,Raam Reddy,India,2017-03-09,2015,TV-MA,123,Dramas
s8579,Movie,Thithi,Raam Reddy,India,2017-03-09,2015,TV-MA,123,Independent Movies
s8579,Movie,Thithi,Raam Reddy,India,2017-03-09,2015,TV-MA,123,International Movies
s8579,Movie,Thithi,Raam Reddy,United States,2017-03-09,2015,TV-MA,123,Dramas
s8579,Movie,Thithi,Raam Reddy,United States,2017-03-09,2015,TV-MA,123,Independent Movies
s8579,Movie,Thithi,Raam Reddy,United States,2017-03-09,2015,TV-MA,123,International Movies
s8580,Movie,Thong Dee Fun Khao,Bin Bunluerit,Thailand,2018-01-15,2017,TV-MA,122,Action & Adventure
s8580,Movie,Thong Dee Fun Khao,Bin Bunluerit,Thailand,2018-01-15,2017,TV-MA,122,International Movies
s8580,Movie,Thong Dee Fun Khao,Bin Bunluerit,Thailand,2018-01-15,2017,TV-MA,122,Sports Movies
s8581,Movie,Thor: Ragnarok,Taika Waititi,United States,2018-06-05,2017,PG-13,131,Action & Adventure
s8581,Movie,Thor: Ragnarok,Taika Waititi,United States,2018-06-05,2017,PG-13,131,Comedies
s8581,Movie,Thor: Ragnarok,Taika Waititi,United States,2018-06-05,2017,PG-13,131,Sci-Fi & Fantasy
s8582,Movie,Thor: Tales of Asgard,Sam Liu,United States,2020-04-15,2011,TV-Y7,77,Children & Family Movies
s8582,Movie,Thor: Tales of Asgard,Sam Liu,Canada,2020-04-15,2011,TV-Y7,77,Children & Family Movies
s8585,Movie,Three,Johnnie To,Hong Kong,2017-06-03,2016,TV-MA,88,Action & Adventure
s8585,Movie,Three,Johnnie To,Hong Kong,2017-06-03,2016,TV-MA,88,International Movies
s8585,Movie,Three,Johnnie To,China,2017-06-03,2016,TV-MA,88,Action & Adventure
s8585,Movie,Three,Johnnie To,China,2017-06-03,2016,TV-MA,88,International Movies
s8587,Movie,Thumper,Jordan Ross,United States,2018-02-05,2017,TV-MA,93,Dramas
s8587,Movie,Thumper,Jordan Ross,United States,2018-02-05,2017,TV-MA,93,Thrillers
s8590,Movie,Tik Tok,Li Jun,China,2017-07-01,2016,TV-14,108,Dramas
s8590,Movie,Tik Tok,Li Jun,China,2017-07-01,2016,TV-14,108,International Movies
s8590,Movie,Tik Tok,Li Jun,China,2017-07-01,2016,TV-14,108,Thrillers
s8592,Movie,Time Please,Sameer Vidwans,India,2018-01-01,2013,TV-14,125,Comedies
s8592,Movie,Time Please,Sameer Vidwans,India,2018-01-01,2013,TV-14,125,Dramas
s8592,Movie,Time Please,Sameer Vidwans,India,2018-01-01,2013,TV-14,125,International Movies
s8595,Movie,Tinker Bell and the Legend of the NeverBeast,Steve Loter,United States,2015-05-17,2014,G,78,Children & Family Movies
s8596,Movie,Tinker',Sonny Marler,United States,2019-03-19,2018,TV-14,97,Dramas
s8596,Movie,Tinker',Sonny Marler,United States,2019-03-19,2018,TV-14,97,Independent Movies
s8596,Movie,Tinker',Sonny Marler,United States,2019-03-19,2018,TV-14,97,Sci-Fi & Fantasy
s8598,Movie,To Be a Miss,Edward Ellis,United States,2017-01-01,2016,TV-14,84,Documentaries
s8598,Movie,To Be a Miss,Edward Ellis,Venezuela,2017-01-01,2016,TV-14,84,Documentaries
s8598,Movie,To Be a Miss,Flor Salcedo,United States,2017-01-01,2016,TV-14,84,Documentaries
s8598,Movie,To Be a Miss,Flor Salcedo,Venezuela,2017-01-01,2016,TV-14,84,Documentaries
s8598,Movie,To Be a Miss,Aaron Woolf,United States,2017-01-01,2016,TV-14,84,Documentaries
s8598,Movie,To Be a Miss,Aaron Woolf,Venezuela,2017-01-01,2016,TV-14,84,Documentaries
s8602,Movie,Tokyo Idols,Kyoko Miyake,United Kingdom,2017-10-01,2017,TV-14,89,Documentaries
s8602,Movie,Tokyo Idols,Kyoko Miyake,United Kingdom,2017-10-01,2017,TV-14,89,International Movies
